submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,can_children_observe_deterioration_of_basic_services_of_school,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
4570534489882624,3/17/2021,Female,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,Unemployed,Miranda,Yes,sometimes,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
6440166989496320,3/29/2021,Male,26-35,"Suburban,Peri-urban",notenoughfood,Univ_college_degree_completed,Unemployed,Miranda,No,sometimes,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
5001167808757760,3/18/2021,Female,26-35,"City,Metropolitian",food_clothes_furniture_savings,Univ_college_degree_completed,FullTime,Miranda,No,no,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1
5524933164924928,3/24/2021,Male,36-45,"Suburban,Peri-urban",food_nothingelse,Univ_college_degree_completed,FullTime,Miranda,No,yes,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
5032515751641088,3/18/2021,Female,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,Unemployed,Miranda,No,no,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1
5856891153678336,3/15/2021,Female,36-45,"City,Metropolitian",food_clothes_furniture_nosavings,diploma_degreecompleted,FullTime,Miranda,1-2days,sometimes,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1
4994446973468672,3/31/2021,Female,26-35,Rural,food_regexpenses_nothingelse,Univ_college_degree_completed,Housework,Miranda,Yes,no,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
6295201927921664,3/14/2021,Female,>45,"Suburban,Peri-urban",notenoughfood,diploma_degreecompleted,PartTime,Miranda,No,no,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
6354348190990336,3/23/2021,Female,>45,Rural,notenoughfood,Univ_college_degree_completed,Retired,Miranda,No,sometimes,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
5852928190709760,3/30/2021,Male,26-35,"City,Metropolitian",notenoughfood,Univ_college_degree_completed,PartTime,Sucre,1-2days,yes,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
4861050741850112,3/16/2021,Prefer_not_to_say,16-25,"Suburban,Peri-urban",notenoughfood,diploma_degreecompleted,Unemployed,Distrito Federal,No,no,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
6109510828818432,3/14/2021,Female,>45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,Unemployed,Distrito Federal,No,sometimes,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
