submission_id,submission_id,submission_date,gender,age,geography,financial_situation,education,employment_status,submission_state,do_children_3_and_17_yrs_receive_regular_school_meals,are_there_teachers_at_scheduled_class_hours,can_children_observe_deterioration_of_basic_services_of_school,are_there_children_0_to_2_yrs_out_of_educational_system,were_children_3_to_17_yrs_enrolled_and_did_not_return_to_school,are_there_children_who_stopped_enrolling_in_primary_education,are_there_children_who_stopped_enrolling_in_secondary_education,are_children_attending_face_to_face_classes,are_children_3_to_17_yrs_dealing_with_irregular_school_activity,are_children_being_teached_by_unqualified_people,did_teachers_leave_the_educational_system,do_school_and_the_teachers_have_internet_connection,do_children_have_internet_connection,do_children_3_to_17_yrs_miss_virtual_class_due_to_lack_of_electricity,does_home_shows_severe_deficit_of_electricity,does_home_shows_severe_deficit_of_internet,do_children_3_to_17_yrs_miss_class_or_in_lower_grade,are_children_promoted_with_a_modality_different_from_formal_evaluation
457,457,3/17/2021,Female,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,Unemployed,Miranda,Yes,sometimes,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0
637,637,3/29/2021,Male,26-35,"Suburban,Peri-urban",notenoughfood,Univ_college_degree_completed,Unemployed,Miranda,No,sometimes,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
500,5000000000000000,3/18/2021,Female,26-35,"City,Metropolitian",food_clothes_furniture_savings,Univ_college_degree_completed,FullTime,Miranda,No,no,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1
552,5520000000000000,3/24/2021,Male,36-45,"Suburban,Peri-urban",food_nothingelse,Univ_college_degree_completed,FullTime,Miranda,No,yes,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
503,5030000000000000,3/18/2021,Female,>45,"Suburban,Peri-urban",food_regexpenses_nothingelse,Univ_college_degree_completed,Unemployed,Miranda,No,no,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,1
586,5860000000000000,3/15/2021,Female,36-45,"City,Metropolitian",food_clothes_furniture_nosavings,diploma_degreecompleted,FullTime,Miranda,1-2days,sometimes,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,1
499,4990000000000000,3/31/2021,Female,26-35,Rural,food_regexpenses_nothingelse,Univ_college_degree_completed,Housework,Miranda,Yes,no,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
630,6300000000000000,3/14/2021,Female,>45,"Suburban,Peri-urban",notenoughfood,diploma_degreecompleted,PartTime,Miranda,No,no,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
635,6350000000000000,3/23/2021,Female,>45,Rural,notenoughfood,Univ_college_degree_completed,Retired,Miranda,No,sometimes,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1
585,5850000000000000,3/30/2021,Male,26-35,"City,Metropolitian",notenoughfood,Univ_college_degree_completed,PartTime,Sucre,1-2days,yes,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0
486,4860000000000000,3/16/2021,Prefer_not_to_say,16-25,"Suburban,Peri-urban",notenoughfood,diploma_degreecompleted,Unemployed,Distrito Federal,No,no,0,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
611,6110000000000000,3/14/2021,Female,>45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,Unemployed,Distrito Federal,No,sometimes,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
614,6140000000000000,2/7/2021,Female,>45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,yes,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
483,4830000000000000,3/15/2021,Male,26-35,"City,Metropolitian",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,FullTime,Táchira,No,sometimes,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
524,5240000000000000,3/18/2021,Male,36-45,"Suburban,Peri-urban",notenoughfood,Univ_college_degree_completed,Unemployed,Táchira,No,sometimes,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
528,5280000000000000,4/7/2021,Female,16-25,"Suburban,Peri-urban",notenoughfood,Univ_college_degree_completed,Housework,Mérida,No,sometimes,1,1,1,0,0,0,1,1,1,0,1,1,0,0,1,1
615,6150000000000000,3/17/2021,Female,36-45,Rural,notenoughfood,Univ_college_degree_completed,Unemployed,Mérida,No,no,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,1
608,6080000000000000,3/29/2021,Male,26-35,"City,Metropolitian",notenoughfood,secondary_highschool_completed,PartTime,Mérida,3-4days,yes,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1
673,6730000000000000,3/21/2021,Female,26-35,"Suburban,Peri-urban",food_nothingelse,secondary_highschool_completed,PartTime(Student),Mérida,No,sometimes,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1
575,5750000000000000,3/13/2021,Female,16-25,Rural,food_regexpenses_clothes_nothingelse,Primary_school_completed,Student,Mérida,No,no,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
531,5310000000000000,3/13/2021,Male,36-45,"City,Metropolitian",food_regexpenses_nothingelse,Univ_college_degree_completed,PartTime,Mérida,No,yes,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0
587,5870000000000000,3/13/2021,Female,>45,Rural,food_regexpenses_nothingelse,diploma_degreecompleted,PartTime,Mérida,No,sometimes,0,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0
460,4600000000000000,3/28/2021,Male,16-25,Rural,notenoughfood,Primary_school_completed,Student,Carabobo,No,sometimes,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0
561,5610000000000000,3/13/2021,Male,36-45,"City,Metropolitian",food_regexpenses_clothes_nothingelse,secondary_highschool_completed,PartTime,Distrito Federal,No,sometimes,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,1
559,5590000000000000,3/14/2021,Female,16-25,Rural,notenoughfood,secondary_highschool_completed,Unemployed,Distrito Federal,No,no,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
550,5500000000000000,6/10/2021,Female,26-35,"City,Metropolitian",notenoughfood,Univ_college_degree_completed,PartTime,Distrito Federal,No,no,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0
471,4710000000000000,3/13/2021,Male,26-35,"City,Metropolitian",food_regexpenses_clothes_nothingelse,Univ_college_degree_completed,FullTime,Distrito Federal,No,yes,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
